word,definition,length
sabit,"(V.) hang, dangle, cling. isabit, sinabit, sasabit,
sabitan.
(D.) mesabit.",5
sablaq,"(Q./N.) all, everyone, everything; see ngan.",6
sablayan,(N.) clothesline; see sable.,8
sable,"(V.) hang things (clothes) on a line to dry. sable,
sible, misable, makasable, manyable.
(N.) sablayan ‘clothesline’.",5
sabo,"(N.) soup, juice, sauce. sabo-byas ‘white-ish water
which results from washing abyas’.
(D.) masabo ‘juicy (e.g. watermelon)’.",4
sabsab,(V.) eat like a pig; see laklak.,6
sabul,"(V.) scramble (eggs). sabulan, se:bulan.",5
sabun,"(N.) soap. pisabunan ‘lather’.
(V.) sabunan, sasabunan, manyabun, minyabun.",5
sabung,"(V.) sasabung ‘pit fighting cocks againt each
other’, sumabung, panyabung.
(N.) sabung/sabungan ‘cockpit’.",6
sakab,"(V./St.) misakab ‘fall on face’. makasakab ‘lying
face-down’.",5
sakag,"(N.) a fish net, small.",5
sakal,"(V.) sakalan ‘choke, strangle’. sekalan, sasakalan.",5
sake,"(V.) ride. sasake, sinake, sake, makasake,
makisake, misake, misasake.
(N.) sake ‘rider’. saken ‘vehicle’; pamanyake ‘act
of riding’.",4
sakit,"(D./V./N./St.) masaki’t ‘hurts, painful’; masa’kit
‘difficult, hard’; ma’sakit ‘a sick person’; sakit
‘disease’; manasakit ‘feel hurt, grudge, be hurt,
get hurt, feel pain’; magka-sakit ‘experience
hardship, difficulty or pain’; sasakit, sinakit,
mesakit, kasakit, pa:sakit ‘burden, give a burden’;
pi:sakit, pamagmalasakit ‘effort, care’.",5
sakla,(N.) a gambling game.,5
saklo,"(V.) fetch (e.g. water); see saklum, sasaklo.",5
saklub,"(N./V.) cover. manyaklub.
184",6
sakluluwan,(V.) carry clutched to chest.,10
sakmal,"(V.) grab in fist. sakmalan, sasakmalan, sikmal,
a:sakmal, sinakmal.
(N.) kasakmal ‘handful’.",6
sakobli,"(V.) bounce.
magsakobli, sasakobli, sinakobli.",7
saksak,"(V.) stab, pierce.
[metaphor] penetrate sexually.",6
saksiq,"(N.) witness. saksing oba ‘Jehovah’s witness’.
(V.) saksian.",6
sakul,"(V.) plant sugar cane; see asik, tanam.",5
sakunaq,"(N.) disaster, accident; see sigwaq.",7
sakung,(N.) heel.,6
sakup,"(N.) boundary. pamanyakup ‘reign, government’.
(V.) sakupan ‘capture’. sinakup, se:kupan,
pa:sakup.",5
sadja,"(N.) spread of food, occasion. sidja.
(V.) magsadja, sidja, misadja, misasadja.
(D.) makasadja ‘arranged’.
(D./Q.) formerly, same as usual. kalupa ning sadja
‘like before, like always’.",5
sadsad,"(N.) anchor.
(V.) sinadsad, sidsad, makasadsad, apasadsad.",6
sagakgak,"(V.) guffaw.
sasagakgak, sinagakgak.",8
sagapan,"(V.) slap.
185",7
sagin,"(N.) banana.
saginan ‘banana grove, plantation’; pusung sagin
‘banana heart (used as food–salad; drops of liquid
taken from at midnight used as a talisman)’.
Types: bulungan, saba, karinyosa, paltikus,
bilyakuq, lakatan, katandan, gapis, sagin-kapit/
sagin-kapis/sagin-kapitkapit.",5
sagiwaq,"(D.) fresh (flowers); raw (meat);
still liquid (water being frozen).",7
saglaway,"(V.) saglawayan ‘refer to, mention’. saglawe.",8
sagmit,"(V.) grab, snatch.
sigmit, sagmitan, asagmit.",6
sagoso,(N.) commotion.,6
sagliq,"(D./Q.) just a moment, quickly.
(V.) sinaguliq.",6
saguyud,"(V.) speak in the manner common around Sta,
Ursula, Betis; see gege. sasaguyud.",7
sagwaq,"(D.) masagwaq ‘coarse, ugly’.
(V.) sasagwaq.",6
salaq,"(D.) masalaq ‘bright, light’. kasalaq.
(V.) sasalaq ‘grow bright, light’, pasalan.
(N.) pampasalaq ‘a light, lantern’.",5
salabat,"(V.) interrupt, disturb.
sasalabat, makasalabat.",7
salabat,(N.) a drink made of ginger.,7
salak,"(V.) filter, strain, sieve.
sinalak, a:panyalak.
(N.) panyalak ‘sieve, strainer’.",5
salakab,"(N.) a fish-trap, carried in the hand and plunged
into a shallow stream on top of a fish. When thus
corraled the fish is removed by hand through a
hole in the top.",7
salakay,"(V.) attack, invade. sa:lake, salakayan, selakayan,
sasa-lakayan, pa:salake.
(N.) pa:manyalake ‘invasion, attack’.",7
salakup,"(V.) salakupan; see sakup.
sasalakupan.",7
salagintuq,"(N.) a beetle, small with iridescent wings.",10
salalak,"(V./D./St.) caught; see salak, misalalak.",7
salale,(N.) house supports.,6
salamat,"(N./V.) thank(s).
papasalamat, pasalamatan, magpasalamat ‘give
thanks’.",7
salamin,"(N.) mirror, looking-glass; eyeglasses; window
pane.",7
salangi,(V.) invite to something. pasalangian.,7
salapiq,"(N.) money, coin. salapi’ng me’tung ‘50 centavo
coin’. [rare, obsolete].",7
salas,"(N.) living-room, family room, room for
entertaining.",5
salat,"(D.) masalat ‘feel sandy, feel dirty as covered by
small particles’.",5
salat,(V.) sasalat ‘caressing’. sasalatan.,5
salaulaq,"(V.) be careless.
(D./N.) kasalaulan.",8
salbaye,"(D.) naughty.
(V.) salbayan ‘cheat, defraud, abuse, rape’.
sinalbayi, manyalbayi, apagsalbayan.",7
saldak,"(V.) put down with a bang. sildak, saldakanan,
sildakanan, misaldak, misasaldak.
(N.) sildakanan ‘those who have succumbed to
temptation’.
(D.) saldak-saldak a inawa ‘breathe heavily with
grief’.",6
salese,"(V.) fix, repair, arrange. salesen, selesen, asalese,
mipagka-salese.
(D.) masalese ‘fixed, okay’. mesalese.",6
saliq,"(V.) buy.
sasaliq, sinaliq, saliwan, seliq, manyaliq,
mamisaliq, pa:saliq ‘sell (cause to buy)’, pakisaliq,
pisaliq ‘thing sold’, pisisaliq, misisaliq.",5
salikap,"(N.) a woven basket, open round top and
four-cornered bottom.",7
saliksik,"(V.) inserted between two things.
(D.) mayaliksik ‘penetrating’.",8
salikut,"(V.) hide.
sa:likut, sinalikut, isalikut, maka-salikut,
pa:salikut, mapanyalikut.
(N.) salikutan ‘hide-n-seek’; pisasalikutan
‘hide-out’.",7
salilungan,(N.) shade (e.g. of a tree); see ma-yiyilo.,10
salindruq,"(N.) harmonica.
(V.) magsalindruq.",9
salisiq,"(V./D./St.) next in line; see saliksik. sasalisiq,
sinalisiq, salisiwan.",7
salisul,"(N.) standing water, fetid water, the water in nipa
groves.",7
salit,(D.) mixed languages; incorrect speech. salitsalit.,5
salitaq,"(N.) word, speech, language.
(V.) magsalitaq, manyalitaq, maki-pagsalitaq.",7
salitcit,"(V./D./St.) sasalitsit ‘ooze fat, sizzle’. manyalitcit.",8
salol,(N.) pants.,5
salong,"(N.) a male nickname, from Gonsalo.",6
salpak,(D.) masalpak ‘tastes unripe’.,6
salsal,"(V.) 1. throw down with force something heavy
and fat (as, a pig). silsal.
2. masturbate.",6
salta,"(V.) bounce, jounce, jump. isalta, sasalta, silta,
pa:salta, a:pasalta.",5
saluq,"(N.) chest, breast.",5
saluq,"(N.) posts (of a house).
(V.) manyaluq ‘put in posts’. a:sasaluq.
189",5
salubsub,(N.) small splinter.,8
salubung,"(V.) greet, hail.
sasalubung, a:salubung.
(N.) pasalubung ‘gift upon meeting (brought when
coming to visit or returning from a journey)’.",8
salud,"(V.) take a bath. sasalud, sinalud, magsalud.",5
salun,See salu’t.,5
salupil,"(N.) packing cushion; plug in a hole, stopper.
(V.) salupilan.",7
salusad,(N.) red ants.,7
salusuq,"(D.) masalusuq ‘fast, swift’. kasalusuq.
(V.) sasalusuq ‘go fast’.",7
salut,"(N.) disease, epidemic; see salun.",5
salutung,(V.) nod greeting; see salubung. sasalutung.,8
salyuyut,(N.) a plant.,8
samaq,"(N.) anger, hatred; see kasaman. kasamaq ‘one
one is angry with’.
(V.) sasamaq, masasamaq.",5
samak,"(N.) kasamak ‘tenant’. pasamak ‘landowner
(tenant); pamag-pakasamak.
(V.) sa:makan, makisamak, makikasamak,
ke:samak.",5
samas,(V.) samasan ‘correct someone’. samasnan.,5
samat,(N.) betel leaves.,5
samba,"(V.) worship, pray. sasamba, simba, samban ‘pray
to someone’; sinimba.
(N.) pisamban ‘church’. pisasamban ‘praying’;
simbang bengi ‘midnight mass’; pamanyamba.",5
sambut,"(V./St.) defeat, be defeated; see saul, sahul.
manyambut, sinambut, simbut, misambut.",6
sampaga,"(N.) flower, blossom.
(D.) masampaga, kasampaga.",7
sampaluk,"(N.) sampaloc, tamarind.",8
samputsamput,"(D.) heterogeneous, having things of wide variety;
see eganagana.",12
samsam,"(V.) abduct, grab, snatch. samsaman, simsam,
manyamsam, a:samsam.
(D.) masamsam.",6
samul,(V.) gulp food.,5
samut,"(V.) samutanan ‘dilute something’. sasamutanan,
semutanan, pisamutan, pisasamutan,
pi:sasamutan. cf. bantuan",5
sana,(Adjunct) wish; see saq.,4
sandal,(V.) magsandal ‘lean on something’.,6
sandataq,"(N.) weapon(s), armament.",8
sanduk,"(N.) ladle.
(V.) isanduk ‘ladle for someone’.",6
sanip,"(V.) 1. join (pieces).
2. choke on saliva while trying to talk (‘someone
is thinking of you’). misanipan, misasanipan,
pisanipan.",5
santing,"(V.) sasanting ‘get nice, become nice’.
pa:santingan ‘beautify’.
(D.) masanting ‘nice, handsome’.
kasanting.",7
santul,"(N.) a fruit and tree, sandor indicum.",6
santung,"(V.) stay in another’s house.
pagsantungan.",7
sanu,"(N.) which; see isanu.
sanuman ‘whosoever’; see ninuman.",4
sanwic,"(N.) sandwich; bribe, payoff, kickback (from the
practice of putting money in sandwiches at
political rallies).",6
sanga,"(N.) branch (of a tree).
(D.) masanga, kasanga.
(V.) manyanga.",5
sangkan,"(N.) excuse, reason, cause, explanation.
pamanyangkan.
(V.) magsangkan, manyangkan, panyangkan,
panyangkanan, isangkan, ka:sangkanan.",7
sangkap,"(N.) tool, equipment.",7
sangkut,"(D.) sangkutsangkut ‘spiced’.
masangkut ‘involved’; mesangkut, kasangkut,
misangkut.
(N.) kasangkut ‘accomplice’.",7
sanggul,"(N.) braid, hair bun.
(V.) sanggulan, manyanggul, minyanggul.",7
sapaq,"(N.) brook, rivulet.",5
sapaq,(N.) betel-chew wad.,5
sapak,"(D./V./St.) full, jam-packed.
sinapak.",5
sapal,"(N./D.?) sapal ngungut ‘grated coconut’.
192",5
saparat,"(D.) flat, spread (of noses).",7
sapatus,"(N.) shoes.
(D.) makasapatus ‘wearing shoes’.",7
saping,"(V.) wipe a dripping nose on one’s shirt-sleeve.
sasaping.",6
sapingil,"(V.) slap on back of head, force another’s head
down.
sasapingil, se:pingil.",8
sapitu,"(V./D.) have haircut.
sapituwan; see qurud.",6
sapsaq,"(D.) masapsaq ‘cracking’; ‘have a strong desire
for something’.",6
sapu,"(V.) catch; see salu, salud.
sapwan, sasapwan, a:sapu.",4
sapulaq,(N.) hairband.,7
sapung,"(V.) sapungan ‘bump something’.
manyapung, misapung.",6
sapwaq,(N.) stalk (e.g. of banana plant).,6
sara,"(V.) close something.
isara, sasara, se:ra, makasara.",4
saraliq,"(N.) a berry or cherry-like fruit; small, round,
dark-red, has about 5 stones.",7
sariliq,"(N./D.) oneself.
pansariliq.
(V.) magsariliq ‘live alone’.
makapagsariliq, makisariliq, papasariliq,
kasarilin.",7
sariyan,"(D.) intentional.
sasariyan.",7
sarsa,"(N.) sauce; see salsa.
(V.) makisarsa; pakisarsa ‘put sauce on’.",5
sarswela,"(N.) a drama, (sp. zarzuela) like an operetta or
Broadway show.",8
sartud,"(N.) a fishing net, with large square bamboo
frame.",6
sasa,(N.) nipa palm.,4
sasaq,(N.) seedlings (fish); see bini’q-.,5
sasag,"(N.) walling, baseboard.",5
sasamanpanyuq,(N.) a children’s game; see baldugan-panyuq.,13
saslagningalaya,(N.) the break of dawn; see aslag ‘horizon(?)’.,15
sastri,(N.) tailor; see modista.,6
satsat,"(D.) crewcut.
masatsat ‘glib, talkative’.",6
saup,"(V./N.) help.
sasaup, sopan/saupan, sinopan, susopan, a:saup.
(N.) saup, pisaup, pisaupan, pisasaupan,
talakasaup ‘assistant’.
(D.) pasaup ‘helpful’; mapanyaup ‘helpful’.",4
sawaq,"(D./St./V.) tired of something; more than enough
of something (as, eating too much ice cream)
makasawaq; talakasawaq ‘one who overdoes, gets
bored, fed up’.
sasawaq, sinawaq, sawayan, sewansewan,
pa:sawaq.",5
sawaliq,"(N.) a woven walling material made of bulu
bamboo.",7
sawang,"(D.) masawang ‘dizzy, afraid of height’.",6
saya,(N.) skirt.,4
sayaq,"(D.) masayaq ‘happy, jolly, cheerful’.
kasayaq.
(V.) pasayan, sasayaq, a:pasayaq, magsayaq.
(N.) kasayahan, pamagsayaq.",5
sayad,"(D./V.) broke, worn out, tired.
sasayad, sinayad, sumayad.",5
sayang,"(D./Excl.) wasted; a pity, too bad.",6
saynugas,(N.) (cyanide?) a poison used on fish.,8
iskwalaq,(N.) carpenter’s T-square.,8
sebo,"(D.) masebo ‘greasy’.
kasebo.",4
sekreto,(D.) secret; see lihim/liim.,7
sekupan,See sakup.,7
selan,"(D.) maselan ‘dangerous, in danger, delicate’.
maseselan.
(V.) sumelan.",5
seli,See saliq.,4
selmon,"(N.) sermon; scolding.
(V.) selmonan ‘scold someone’.
195",6
seloso,(D.) jealous.,6
selyu,"(N.) stamp(s), seal.",5
samentu,(N.) cement; see panyamentu.,7
senakulo,"(N.) the Last Supper (Holy Thursday in Holy
Week); name of a club; see puniq.",8
sensi,(N.) spatula.,5
sensus,"(N./V.) census, take census.
pa:se’nsus ‘demand a handout or contribution’
(esp. to go house-to-house doing this).",6
sentral,(N.) sugar-central.,7
senyas,"(N.) mark, sign, hint.
(V.) sesenyas, sesenyasan, sinenyasan.",6
sepu,"(N.) empty rice hulls.
(V.) salepwan, manyalepu.",4
sera,(V.?/D.?/St.) closed; see sara.,4
sero,"(N.) zero.
(D.) mesero ‘get a zero (on a test)’.",4
seryaq,See saryaq.,6
sese,"(N.) pet, one/thing cared for.
(V.) sesese ‘adopt, raise, care for’.
sesen, sesesen, sinesen, manese/manyese.",4
sesyu,(N.) male nickname for Inocencio.,5
sibad,"(N.) a kind of bird, swallow-like, some are blue,
some are yellow and black; seen near the rivers.
196",5
sibilyans,(N.) civilians; one’s offspring.,9
sibul,"(N.) fountain, spring, source.",5
sibuqsibuq,(N.) a kind of worm (?).,10
sibuyas,(N.) onion(s).,7
sik,"(Number affix, forms ordinals with completed
aspect) banwang sikadwaq ‘two years ago’;
banwang sikatluq ‘three years ago’.",3
sikad,"(V.) kick with force.
sisikad, pasisikad, sinikad, sikdan.",5
sikan,"(N.) strength, capacity, vigor.
sikanan ‘pull, influence’; pampasikan.
(D.) masika’n ‘strong’.
(V.) sisikan, sinikan, pa:sikanan.",5
siklab,(V.) sisiklab ‘flame up’.,6
siklaud,"(V.) kneel.
manyiklod, pasikloran, makasiklod, pangasiklod,
papanyikloran, kasiklod.
Siklod ku puq. [This is a phrase said in respect as
one greets and kisses the hands of older relative
males in the evening].",7
siko,"(N.) 1. elbow.
2. chico tree and fruit.",4
sikreta,(N.) detective.,7
siksek,(D.) jam-packed.,6
siksikan,"(N.) occasion when many people are all trying to
crowd into a few jeepney spaces; see siksak.",8
kwakuq,"(N.) pipe (for smoking tobacco).
(V.) manyikwakuq.",6
sidja,See sadja.,5
sigaq,(N.) [recent slang] tough guy (a harsh label).,5
sigalut,(N.) trouble; also the title of a zarzuela by Crissot.,7
sigang,"(N.) a kind of soup with fish and vegetables and
spices.",6
sigarilyu,"(N.) cigarette.
(V.) masisigarilyu ‘smoke cigarettes’.",9
sigasig,"(N.) [Bergaño] asthma.
sisigasig ‘be in heat’.",7
siglaq,"(D.) masiglaq ‘active, noisy, happy, full of life’.
(V.) sisiglaq.",6
siguk,"(N.) hiccough.
(V.) sisiguk, siniguk, makasiguk,
si:guk.",5
sigundu,"(D.) second.
Batang Segundu (name of a barrio near
Sexmoan).",7
siguradu,"(D.) certain, assured.
(V.) siguradwan, manyiguradu.",8
siguru,"(Q.) perhaps.
(V.) insure.
isiguru, manyiguru, pa:siguru.
(N.) sigurus ‘life-insurance’; manyiguru
‘life-insurance salesman’.",6
silab,"(N.) fire, holocaust.
pamanyilab; manyilab ‘arsonist’.
(V.) silagan ‘burn something’; manyilab ‘set fires’;
misilab.",5
silak,(N.) shellac.,5
sili,"(N.) chili.
sili konkarne, sili kondog.",4
siliman,"(N.) tukupan-siliman ‘a children’s game, like
blindman’s bluff’.",7
silip,"(V.) peep.
manyilip.
(N.) panyilip ‘binoculars’; ma:nyilip ‘peeping-tom’.",5
silo,"(V.) check a trap (for animals, fish).
isilo, sisilo, sinilo, mesilo.",4
sim,(N.) corrugated iron sheet (GI sheet).,3
simpli,"(N.) the top part of a rice stalk, the part each
grain is attached to.",6
sinabud,(N.) rice seedling.,7
sinada,(N.) agwa-sinada ‘a medication for small cuts’.,6
siname,"(N.) lace, heavily embroidered cloth.",6
sindak,"(D.) frightened, shocked, remorseful.
masindak, masisindak, mesindak.",6
sindalan,"(N.) name of a barrio between San Fernando and
Angeles; there is a funny story connected with the
origin of the name.",8
sindi,"(V.) light a candle, burn a torch, light a cigarette,
turn on an electric light.
sisindiq ‘smoke cigarettes’; masindi; sindyan
‘light something’.",5
sinelas,"(N.) rubber slippers (shower shoes)–zoris,
go-aheads.",7
sinipit,(N.) a place name (‘pinched’).,7
sinsil,"(N.) a broad heavy chisel used for cutting metal,
stone, cement.",6
sinta,"(N.) romantic love.
(V.) palsinta ‘be in love’.
pamalsinta.",5
sintidu,"(N.) temple (of head).
(D.) masintidu ‘be hit in temple’.",7
sinulid,(N.) thread.,7
sinup,"(V.) keep.
misinup, misisinup, a:sinup.",5
singal,"(V.) sigh, take deep breath.
sisingal.",6
singap,"(V.) sigh in self-pity.
sisingap.",6
singil,"(V.) charge, collect, collect debts, send bill.
maningil, a:singil.",6
singit,"(V.) slip into a narrow crack.
isingit, sisingit, siningit, manyingit, pa:singit,
a:singit.
[also used with a sexual meaning–to enjoy
another’s wife while he is away].
sisingitan.",6
single,"(N.) fried rice.
sisingle’ ‘a children’s game: leapfrog’.",6
singo,"(V.) evaporate, steam, ooze.
sisingo, siningo, si:ngo.",5
singsing,"(N.) ring.
palsingsingan ‘ring finger’.",8
sipa,"(V.) kick.
si:pa, sinipa, sisipan, panyipa.",4
sipag,"(N.) industriousness.
kasipagan.
(D.) masipag ‘industrious, hardworking’.
(V.) sisipag, sinipag, sumipag, sipagan.",5
siper,(N.) zipper.,5
sipilyu,"(N.) toothbrush.
(V.) manyipilyu ‘brush teeth’.",7
siping,"(D./St.) near, close.
sipingsiping.
(N.) siping-bale ‘neighbor’.
kasiping ‘one next to you’.
(V.) akasiping, misiping, misisiping.",6
sipit,"(N.) clamp, pincers.
sipit malan ‘clothespins’; sipit-buak ‘hairclip’;
sipit-kalang ‘cooking tongs’.
(D.) masipit, mesipit.",5
sipsip,"(V.) sipsipan ‘suck, draw on a pipe/straw’.",6
siqpun,"(N.) (head)cold, nasal mucus.
(D.) masipqun.
(V.) sisipun.",6
sirup,(N.) syrup.,5
sisi,"(V.) regret, repent.
sisisi, sumisi, sinisi, sisisian ‘regret something’,
sinisyan, a:sisyan.
(N.) pa:manisi.",4
sisiq,"(N.) chick, duckling.
201",5
sisilim,(V./N.) twilight.,7
sisingle,(N.) leap-frog (a children’s game).,8
sitingpriti,(D.) makasitingpriti ‘sitting pretty’.,11
sitsit,"(V.) buzz, whisper.
sisitsit, sinitsit.",6
situq,"(N.) a male nickname, Chito.",5
siyensi,(N.) the Little Dipper.,7
sobra,"(Q./N./D.) excess; see labis.
mipasopra, sosobra, sinobra, pa:sobra
‘exaggerate’.
(N.) kasobran.",5
sobri,(N.) envelope.,5
soning,"(N./V.) have epilepsy (men, dogs, chickens).
sosoning, sinoning.",6
songgo,(N.) monkey; see matsing.,6
sopan,See saupan.,5
sopas,"(N.) broth, soup.",5
soraq,"(D.) makasoraq ‘irritated, annoyed’.
(V.) masusoraq, a:soraq, a:pasoraq.",5
sorbeti,(N.) ice cream.,7
soso,"(V.) dip; see tiltil.
sososo, isoso, sinoso, misososo, magpakasoso
‘indulge in’.
202",4
sosoq,(N.) snail.,5
spuq,"(Excl.) an abbreviated form of diyos puq–which in
turn has been abbreviated from some wish that
God be with you or the like; used as a greeting
and to announce one’s presence at another’s
house.",4
suberbyu,(D.) stubborn.,8
subiq,"(D.) masubiq ‘serious’.
(V.) susubiq.",5
subliq,"(V.) return.
isubliq ‘return something’; pakisubliq,
makapanubliq, pa:subliq, panyubliq, a:subliq,
mi:subliq.
(N.) pa:manyubliq.
(D.) masubliq, mesubliq, makasubliq.",6
subuq,"(V.) put in the mouth.
susubuq.
(N.) mouthful.",5
subuk,"(V.) try, attempt.
subuknan, susubuknan, si:bukan ‘experience
something’; susubukan, sibukan.
(N.) pagsubuk, ‘experiment’.",5
sukaq,"(V.) vomit.
susukaq, manyukaq.
(N.) panyukaq ‘thing vomited’.",5
sukab,"(N./V.) traitor.
sukaban; kasukaban ‘treachery’.",5
sukad,"(N./V.) measure, measurement.
sukad, susukad, sinukad, pa:sukad.",5
sukal,"(N.) trash, rubbish, undergrowth.
kasukalan ‘undergrowth’.
(V.) sukalan.",5
sukiq,"(N.) partner in a credit-regular purchase
relationship.
(V.) makisukiq.",5
sukle,"(N.) comb; see aswe.
telasukle ‘mons veneris’.
(V.) suklen, siklen, manyukle.",5
sukliq,"(N.) change, the money returned in a transaction.
(V.) suklyan, susuklyan, sinuklyan, pa:sukliq,
pakisukliq.",6
suklub,(N.) cover (for pots).,6
suksuk,"(N.) thorns, spines.",6
sukul,"(V.) isukul ‘imprison someone’.
sinukul, a:sukul, pa:sukul.
(D.) masukul, mesukul, masusukul, makasukul.
(N.) sukulan ‘jail’; pangasukul ‘captivity’.",5
sudsud,"(N.) an iron bar used for digging in very hard soil;
see sur-gamat.
(V./St.) pisudsudsudsud ‘be mocked’.",6
sugal,"(N.) gambling.
sugaru’l ‘gambler’.
(V.) susugal, makisugal, sinugal.",5
sugat,"(N.) wound, break in the skin.
(V.) susugat, sumugat, susugatan.
(D.) masugat, mesugat.",5
suglung,(V.) join two pieces of rope.,7
suguq,"(V.) joint labor, helping someone as a group.
makisuguq, siguan, misuguq, misusuguq,
pisuguan.
(N.) suguan ‘the activity wherein a group helps
someone’.",5
suhul,"(V.) bribe.
suhulan, susuhulan, sinuhulan, masusuhul.",5
sulapo,"(V.) fly.
susulapo, sinulapu, manyulapo, pa:sulapo,
a:pasulapo, makasulapo.",6
sulat,"(V.) write.
susulat, sinulat, sumulat, sulatan, silatan, isulat.
(N.) sulat ‘letter, thing written’; pisusulatan
‘desk’.",5
sulbato,"(N.) whistle (factory, policeman’s).",7
suldung,"(V.) suldungan ‘shoot (a target, through a ring or
hoop, cork bottles)!.",7
suldut,"(N.) bedbug (s).
(D.) masuldut, kasuldut.",6
sulip,(N.) earth; area below a house.,5
sulit,"(V.) 1. sulitan ‘examine something’.
susulitan, sinulit.
(N.) pamagsulit ‘examination’.
(V.) 2. retain capital, return initial investment.
isulit, mipasulit.",5
sulput,"(V.) appear, show oneself.
sulput, susulput, sinulput.
(N.) a kind of grass whose seeds stick to one’s
clothes.",6
sultador,"(N.) a carpenter’s tool, has a wooden handle, an
iron shaft about 8 inches long and a small iron
blade like a tiny hatchet.",8
suluq,"(N.) torch, light.
sulung koryenti ‘electric light’; panyuluq ‘lighted
area’.
(V.) susuluq ‘do something with light’; susulung
asan ‘go torch-fishing’; suluan, siluan, sinuluq,
isuluq, sulu:q, manyuluq ‘light a candle, join a
procession’; misuluq.",5
suluk,"(N.) corner.
(D.) suluksuluk ‘complicated’.
makisuluk, mekisuluk.",5
sulud,"(V.) wear (clothes); go under something.
susulud, sumulud, sinulud, misulud, misusulud,
mipasulud, isulud.",5
sulung,"(V.) develope, move forward. susulung,
pa:sulungan.
(D.) masulung ‘forward, leaning; forward (banca,
words)’.",6
sulut,"(V.) sulutan ‘poke a small hole in something; ram
out something blocking a hole’.
(D.) putu sulut ‘a kind of rice-cake steamed in a
hole’.
(N.) doorkey.",5
sulyap,"(V.) glance at.
susulyapan, a:sulyapan.",6
suma,"(N./V.) sum, calculate, add up.
makasuma.",4
suman,"(N.) a delicacy made of rice, cylindrical in shape
and served wrapped in some kind of leaf (varies
with type).
suman bulung, suman banus, suman bulagtaq
(sexual usage too), suman kapit, suman tamalis.
(V.) manyuman ‘make suman’.",5
sumangid,"(N./D.) across, opposite, next one over, next one
parallel; see kanatba. ke-sumangid, sumangid
dalan, misisu-mangid.",8
sumbat,"(N.) crisis, moral cause.
(V.) susumbat.",6
sumbuq,(N.) light.,6
sumbung,"(V.) accuse, denounce, tattle on. isumbung,
susumbung, simbung.",7
sumpaq,"(N.) curse, [a very serious form of parental
punishment].
(V.) susumpaq, sinumpaq, isumpaq, simpaq,
sinimpaq.",6
sampa,"(V.) climb a low incline.
sinumpa.",5
sumpal,"(V.) sumpalan ‘block up a hole; gag someone, fill
(cavity)’.
simpalan, makasumpal, pa:sumpal, a:sumpalan.",6
sumpung,"(V.) bump into something, be brought to an abrupt
halt.
sumpungan, simpungan, sinumpung, susumpung.",7
sundalus,"(N.) soldiers; children, offspring; see sandataq,
sibilyans.",8
sundul,"(V.) sundulan ‘poke down (fruits) with a pole’.
sindulan.",6
sunlag,"(V.) shining, sunshine.
sinlag.",6
sunuq,"(V.) tease.
susunuq, manyunuq, a:sunuq, pisunu-sunuq.",5
sungkit,"(N.) a long pole with a slit or hook at the end,
used to get fruits from trees; see sundul-.
(V.) to get fruits with a sungkit.
susungkit, a:susungkit, manyungkit, panyungkit,
sungkitan, susungkitan, pa:sungkit, pakisungkit.",7
sunggit,"(D.) masungit ‘delicate, easily harmed, easily
offended, susceptible to disease’.",7
sungsung,"(D.) a trade item.
tapayan sungsung ‘a large clay jar, sometimes
glazed–said to be Chinese’.
pusung sungsung (pusung sagin sungsung).
(V.) isungsung ‘barter, trade’.
susungsungan ‘do something inspite of the heat
(of the sun)’.",8
supapiq,"(N.) collaborator.
(V.) magsupapiq.",7
supling,"(N.) bud; offshoot; sons, graduate, young citizens.
(V.) manyupling ‘germinate’.
a:supling.",7
suput,(N.) paper bag.,5
sureras,(N.) beams which support flooring.,7
surgamat,(N.) hoe; see sudsud.,8
suri,"(V.) surian ‘check, investigate something’.
susurian, sinuri.
(N.) surian ‘committee, study group’.",4
susiq,"(N.) key.
(V.) lock.
susyan, sinusi, manyusi.",5
susing,(N.) nickname for Jesus.,6
susu,"(N.) female breast; baby bottle.
Susung-Dalaga (name of a mountain).
(V.) sususu ‘nurse, suckle’.
sinusus.",4
susuq,"(N.) snail; edible shellfish; see susung apun
‘Japanese snail’.",5
suyaq,"(D.) makasuyaq ‘fed up (with something); see
-soraq.",5
swam,(N.) swam mais ‘mixed vegetable dish with corn’.,4
swekus,"(N.) wooden clogs, slippers.",6
swelas,"(D.) maswelas ‘resoled’.
meswelas.",6
sweldu,"(N.) salary.
(V.) susweldu ‘pay a salary’; suswel-dwan ‘receive
a salary’.",6
swiq,"(D.) forcibly.
(N.) a person who was born feet-first–believed to
have special power to remove bones or fish-spines
when stuck in a person’s throat.",4
sya,(D.) [Excl.] pleasing.,3
syam,(Nu.) nine.,4
syano,"(N.) male name, Ciano; from Feliciano.",5
syapiq,(N.) the base or table part of a potter’s wheel.,6
syas,"(D.) masyas ‘tough, hard, crisp’.
masyas a amanu ‘tough speech (tensed vowels;
crude words)’; masyas a pesus ‘crisp peso bill’;
masyas a dutung ‘strong, hard wood’.
(V.) pa:syas ‘make strong, hard’.",4
syok,(N.) loud noise; see pasyuk.,4
syoki,"(N.) male homosexual, effeminate male; see ekus.",5
syoktong,(N.) a rice wine.,8
syopaw,"(N.) a hamburger-like food.
209",6
